"ParcelID","Location","RM","BD","BA","34BA","HB","FP","Owned","NBC","Imp","Floor","Loc","Grade","Built","Price","Date","Area","Value","_Change","f0","Type","Nhood",
"13-110","29 PORTER STREET","7","4","1","0","1","1","0.00%","5020","6","","False","3","1930","0","07/01/1972","1665","692500","8.54","False","COLONIAL","5020",
"13-111","37 PORTER STREET","9","5","2","0","0","2","0.00%","5020","15","","False","3","1929","112800","08/01/1981","2553","758500","8.84","False","OLD STYLE","5020",
"13-112","33 PORTER STREET","9","4","1","0","1","2","0.00%","5020","6","","False","3","1930","285000","04/01/1996","2603","774800","9.64","False","COLONIAL","5020",
"13-112A","10 STANTON STREET","9","3","2","0","0","1","0.00%","2000","5","","False","3","1977","1","05/19/2004","2247","803600","2.83","False","CAPE","2000",
"13-113","7 STANTON STREET","5","2","2","0","0","1","0.00%","2000","19","","False","3","1955","350000","11/05/2012","1748","701500","-5.85","False","RANCH","2000",
"13-114","1 LOIS STREET","5","3","0","0","0","0","0.00%","2000","5","","False","2","1947","99","12/26/2012","752","319300","516.41","False","CAPE","2000",
"13-115","15 STANTON STREET","8","4","1","0","2","2","0.00%","2000","19","","False","3","1956","555000","02/17/2006","3320","850800","-6.4","False","RANCH","2000",
"13-116","39 PORTER STREET","6","2","2","0","0","2","0.00%","5020","5","","False","3","1951","0","06/12/2020","2122","720300","7.33","False","CAPE","5020",
"13-117","41 PORTER STREET","7","3","1","1","0","1","0.00%","5020","15","","False","3","1910","1","10/10/2019","1502","680800","9.9","False","OLD STYLE","5020",
"13-118","45 PORTER STREET","6","3","1","0","0","0","0.00%","5020","15","","False","3","1905","163000","09/01/1994","1543","607800","12.16","False","OLD STYLE","5020",
"13-119","49 PORTER STREET","7","3","2","0","1","0","0.00%","5020","6","","False","4","2016","800000","10/26/2016","2475","1012900","10.28","False","COLONIAL","5020",
"13-12","12 JUNIPER STREET","6","4","2","0","0","1","0.00%","5020","5","","False","3","1953","100","08/04/2020","1584","732100","9.33","False","CAPE","5020",
"13-121","38 PORTER STREET","9","3","1","0","1","3","0.00%","5020","6","","False","3","1968","1","12/29/2006","2946","810500","8.37","False","","1000",
"13-121","38 PORTER STREET","9","3","1","0","1","3","0.00%","5020","6","","False","3","1968","1","12/29/2006","2946","810500","8.37","False","COLONIAL","5020",
"13-122","34 PORTER STREET","6","4","1","0","1","1","0.00%","5020","5","","False","3","1950","442500","12/11/2003","1110","792800","11.3","False","CAPE","5020",
"13-123","30 PORTER STREET","7","3","2","0","0","1","0.00%","5020","5","","False","3","1950","0","06/01/1978","1838","808700","7.93","False","CAPE","5020",
"13-124","28 PORTER STREET","7","4","2","0","0","0","0.00%","5020","15","","False","3","1900","660000","03/10/2023","1574","674300","-2.08","False","OLD STYLE","5020",
"13-125","40 PERKINS STREET","9","4","2","0","0","0","0.00%","2000","6","","False","3","1920","514000","10/02/2015","2529","750800","4.7","False","COLONIAL","2000",
"13-126","36 PERKINS STREET","7","3","1","0","1","1","0.00%","2000","6","","False","3","1962","417500","08/04/2008","1792","696800","4.51","False","COLONIAL","2000",
"13-127","32 PERKINS STREET","8","3","3","0","0","2","0.00%","2000","5","","False","5","1954","685000","09/16/2016","2767","919100","8.7","False","CAPE","2000",
"13-128","28 PERKINS STREET","8","5","3","0","0","0","0.00%","2000","15","","False","4","1810","1","11/14/2012","4149","937400","16.17","False","OLD STYLE","2000",
"13-129","24 PERKINS STREET","7","3","2","0","0","3","0.00%","2000","5","","False","3","1800","0","07/03/2014","2362","751600","5.03","False","CAPE","2000",
"13-13","6 JUNIPER STREET","7","3","2","0","1","2","0.00%","5020","19","","False","4","1955","0","12/30/2010","1710","727800","-3.28","False","RANCH","5020",
"13-131","20 PERKINS STREET","8","4","1","0","1","1","0.00%","2000","6","","False","3","1913","454000","08/02/2001","1866","726200","4.4","False","COLONIAL","2000",
"13-132","18 PERKINS STREET","6","3","1","1","0","0","0.00%","2000","22","","False","0","1981","630000","08/30/2022","1429","587000","-18.98","False","CONVENTONL","2000",
"13-133","16 PERKINS STREET","8","4","2","0","0","0","0.00%","2000","2","","False","4","1900","552100","07/17/2007","2096","810400","5.87","False","BUNGALOW","2000",
"13-134","10 PERKINS STREET","6","3","2","0","0","1","0.00%","2000","19","","False","4","1959","575000","05/20/2011","2118","815900","-8.09","False","RANCH","2000",
